"population_id","year","abundance","Trend","geometry"
169,1983,"0.98","Fluctuating",c(39.71667, 7.16667)
169,1984,"0.86","Fluctuating",c(39.71667, 7.16667)
169,1985,"0.93","Fluctuating",c(39.71667, 7.16667)
169,1986,"0.88","Fluctuating",c(39.71667, 7.16667)
169,1987,"0.93","Fluctuating",c(39.71667, 7.16667)
169,1988,"0.52","Fluctuating",c(39.71667, 7.16667)
169,1989,"0.33","Fluctuating",c(39.71667, 7.16667)
169,1990,"0.46","Fluctuating",c(39.71667, 7.16667)
169,1991,"0.35","Fluctuating",c(39.71667, 7.16667)
169,1992,"0.09","Fluctuating",c(39.71667, 7.16667)
169,1993,"0.07","Fluctuating",c(39.71667, 7.16667)
423,1975,"126","Decreasing",c(15, 62)
423,1976,"118","Decreasing",c(15, 62)
423,1977,"135","Decreasing",c(15, 62)
423,1978,"137","Decreasing",c(15, 62)
423,1979,"91","Decreasing",c(15, 62)
423,1980,"82","Decreasing",c(15, 62)
423,1981,"67","Decreasing",c(15, 62)
423,1982,"63","Decreasing",c(15, 62)
423,1983,"74","Decreasing",c(15, 62)
423,1984,"106","Decreasing",c(15, 62)
423,1985,"129","Decreasing",c(15, 62)
423,1986,"145","Decreasing",c(15, 62)
423,1987,"118","Decreasing",c(15, 62)
423,1988,"99","Decreasing",c(15, 62)
423,1989,"137","Decreasing",c(15, 62)
423,1990,"142","Decreasing",c(15, 62)
423,1991,"135","Decreasing",c(15, 62)
423,1992,"114","Decreasing",c(15, 62)
423,1993,"118","Decreasing",c(15, 62)
423,1994,"97","Decreasing",c(15, 62)
423,1995,"82","Decreasing",c(15, 62)
423,1996,"80","Decreasing",c(15, 62)
423,1997,"75","Decreasing",c(15, 62)
423,1998,"82","Decreasing",c(15, 62)
446,1966,"449","Decreasing",c(-4, 54)
446,1967,"464","Decreasing",c(-4, 54)
446,1968,"479","Decreasing",c(-4, 54)
446,1969,"491","Decreasing",c(-4, 54)
446,1970,"500","Decreasing",c(-4, 54)
446,1971,"497","Decreasing",c(-4, 54)
446,1972,"491","Decreasing",c(-4, 54)
446,1973,"485","Decreasing",c(-4, 54)
446,1974,"482","Decreasing",c(-4, 54)
446,1975,"479","Decreasing",c(-4, 54)
446,1976,"479","Decreasing",c(-4, 54)
446,1977,"470","Decreasing",c(-4, 54)
446,1978,"455","Decreasing",c(-4, 54)
446,1979,"438","Decreasing",c(-4, 54)
446,1980,"414","Decreasing",c(-4, 54)
446,1981,"387","Decreasing",c(-4, 54)
446,1982,"364","Decreasing",c(-4, 54)
446,1983,"364","Decreasing",c(-4, 54)
446,1984,"314","Decreasing",c(-4, 54)
446,1985,"296","Decreasing",c(-4, 54)
446,1986,"284","Decreasing",c(-4, 54)
446,1987,"269","Decreasing",c(-4, 54)
446,1988,"252","Decreasing",c(-4, 54)
446,1989,"237","Decreasing",c(-4, 54)
446,1990,"228","Decreasing",c(-4, 54)
446,1991,"216","Decreasing",c(-4, 54)
446,1992,"207","Decreasing",c(-4, 54)
446,1993,"199","Decreasing",c(-4, 54)
446,1994,"187","Decreasing",c(-4, 54)
446,1995,"181","Decreasing",c(-4, 54)
446,1996,"172","Decreasing",c(-4, 54)
446,1997,"163","Decreasing",c(-4, 54)
446,1998,"154","Decreasing",c(-4, 54)
446,1999,"145","Decreasing",c(-4, 54)
446,2000,"137","Decreasing",c(-4, 54)
446,2001,"125","Decreasing",c(-4, 54)
446,2002,"116","Decreasing",c(-4, 54)
446,2003,"107","Decreasing",c(-4, 54)
446,2004,"104","Decreasing",c(-4, 54)
456,1975,"110","Decreasing",c(15, 62)
456,1976,"131","Decreasing",c(15, 62)
456,1977,"91","Decreasing",c(15, 62)
456,1978,"103","Decreasing",c(15, 62)
456,1979,"115","Decreasing",c(15, 62)
456,1980,"79","Decreasing",c(15, 62)
456,1981,"95","Decreasing",c(15, 62)
456,1982,"94","Decreasing",c(15, 62)
456,1983,"79","Decreasing",c(15, 62)
456,1984,"111","Decreasing",c(15, 62)
456,1985,"64","Decreasing",c(15, 62)
456,1986,"91","Decreasing",c(15, 62)
456,1987,"131","Decreasing",c(15, 62)
456,1988,"86","Decreasing",c(15, 62)
456,1989,"74","Decreasing",c(15, 62)
456,1990,"79","Decreasing",c(15, 62)
456,1991,"91","Decreasing",c(15, 62)
456,1992,"72","Decreasing",c(15, 62)
456,1993,"84","Decreasing",c(15, 62)
456,1994,"105","Decreasing",c(15, 62)
456,1995,"106","Decreasing",c(15, 62)
456,1996,"90","Decreasing",c(15, 62)
456,1997,"71","Decreasing",c(15, 62)
456,1998,"88","Decreasing",c(15, 62)
478,1975,"86","Decreasing",c(15, 62)
478,1976,"91","Decreasing",c(15, 62)
478,1977,"91","Decreasing",c(15, 62)
478,1978,"99","Decreasing",c(15, 62)
478,1979,"105","Decreasing",c(15, 62)
478,1980,"117","Decreasing",c(15, 62)
478,1981,"88","Decreasing",c(15, 62)
478,1982,"94","Decreasing",c(15, 62)
478,1983,"130","Decreasing",c(15, 62)
478,1984,"101","Decreasing",c(15, 62)
478,1985,"95","Decreasing",c(15, 62)
478,1986,"84","Decreasing",c(15, 62)
478,1987,"102","Decreasing",c(15, 62)
478,1988,"96","Decreasing",c(15, 62)
478,1989,"87","Decreasing",c(15, 62)
478,1990,"85","Decreasing",c(15, 62)
478,1991,"100","Decreasing",c(15, 62)
478,1992,"91","Decreasing",c(15, 62)
478,1993,"91","Decreasing",c(15, 62)
478,1994,"94","Decreasing",c(15, 62)
478,1995,"89","Decreasing",c(15, 62)
478,1996,"79","Decreasing",c(15, 62)
478,1997,"80","Decreasing",c(15, 62)
478,1998,"90","Decreasing",c(15, 62)
654,1973,"53","Decreasing",c(170.32306, -44.14028)
654,1974,"58","Decreasing",c(170.32306, -44.14028)
654,1975,"66","Decreasing",c(170.32306, -44.14028)
654,1976,"71","Decreasing",c(170.32306, -44.14028)
654,1977,"60","Decreasing",c(170.32306, -44.14028)
654,1978,"60","Decreasing",c(170.32306, -44.14028)
654,1979,"58","Decreasing",c(170.32306, -44.14028)
654,1980,"29","Decreasing",c(170.32306, -44.14028)
654,1981,"30","Decreasing",c(170.32306, -44.14028)
654,1982,"39","Decreasing",c(170.32306, -44.14028)
654,1983,"24","Decreasing",c(170.32306, -44.14028)
654,1984,"48","Decreasing",c(170.32306, -44.14028)
654,1985,"43","Decreasing",c(170.32306, -44.14028)
654,1986,"48","Decreasing",c(170.32306, -44.14028)
654,1987,"55","Decreasing",c(170.32306, -44.14028)
654,1988,"56","Decreasing",c(170.32306, -44.14028)
654,1989,"62","Decreasing",c(170.32306, -44.14028)
654,1990,"61","Decreasing",c(170.32306, -44.14028)
654,1991,"59","Decreasing",c(170.32306, -44.14028)
654,1992,"56","Decreasing",c(170.32306, -44.14028)
679,1993,"36","Increasing",c(31.81111, 2.14611)
679,1994,"18","Increasing",c(31.81111, 2.14611)
679,1995,"42","Increasing",c(31.81111, 2.14611)
679,1996,"35","Increasing",c(31.81111, 2.14611)
679,1997,"20","Increasing",c(31.81111, 2.14611)
679,1998,"42","Increasing",c(31.81111, 2.14611)
679,1999,"40","Increasing",c(31.81111, 2.14611)
679,2000,"60","Increasing",c(31.81111, 2.14611)
679,2001,"40","Increasing",c(31.81111, 2.14611)
679,2002,"36","Increasing",c(31.81111, 2.14611)
679,2003,"42","Increasing",c(31.81111, 2.14611)
679,2004,"40","Increasing",c(31.81111, 2.14611)
1011,1961,"13640","Decreasing",c(-105, 26)
1011,1962,"2420","Decreasing",c(-105, 26)
1011,1963,"3350","Decreasing",c(-105, 26)
1011,1964,"2770","Decreasing",c(-105, 26)
1011,1965,"4570","Decreasing",c(-105, 26)
1011,1966,"4990","Decreasing",c(-105, 26)
1011,1967,"3860","Decreasing",c(-105, 26)
1011,1968,"5140","Decreasing",c(-105, 26)
1011,1969,"5140","Decreasing",c(-105, 26)
1011,1970,"5320","Decreasing",c(-105, 26)
